# Blob 32-bit yang ditambahkan di Fase 5
#
# Sumber: github.com/rigaz29/rb-vendor_oppo_A37 cabang lineage-23,
#         berkas A37/proprietary/vendor/lib/<nama>
# Semua sudah diverifikasi ELF32 ARM sebelum dipasang.
#
# NAMA                             UKURAN  SHA256 (12 pertama)
  libC2D2.so                       120672  49b28dbeabb9
  libCB.so                         773660  a9f642fe0fdc
  libOmxAacDec.so                   65920  7945d2557649
  libOmxEvrcDec.so                 156916  14a4dc86bf4e
  libOmxQcelp13Dec.so              161168  2c58fa10408d
  libRSDriver_adreno.so            141748  70dcbd3d4126
  libadreno_utils.so                26216  ead7bfe7048b
  libbtnv.so                        15968  9b8f58882c6d
  libdrmtime.so                      9396  a89322f1384c
  libgeofence.so                    42616  5198e624a31d
  libgsl.so                        256564  c84e8709035a
  libizat_core.so                   67212  a77291de0337
  liblbs_core.so                   128688  35d2c9f95236
  libloc_api_v02.so                108156  5191af61a11f
  libmm-als.so                      22036  767854ff90ad
  libmm-qdcm.so                     75356  83db9413f602
  librpmb.so                        14192  7afeaaaa7484
  librs_adreno.so                  288712  751c1885c4c6
  libscale.so                       26200  0ddda6a74b21
  libssd.so                          5296  d9057bd3c3fc
  libxml.so                         34380  59ef2c0195d5
  com.quicinc.cne.api@1.0.so       256300  a9ec7da67073
  com.quicinc.cne.constants@1.0.so    37028  aa98212a7cb4
